Sentence,Duration,Average Surprisal
"Two years later , at WrestleMania XXX , Lesnar defeated The Undertaker to end his undefeated streak at the premier annual event .",9523.583333,13.17451814
"Manila is also the site of the Philippine General Hospital , the tertiary state @-@ owned hospital administered and operated by the University of the Philippines Manila .",10171.04167,11.73712522
"For the next three decades , Chad became embroiled in civil war and experienced invasions by Libya and upheavals by Sudanese @-@ backed rebels ; the civil war ended in 1991 , although rebel threats had persisted between then and 2008 .",15927.70833,13.65913032
The selectivity of some hydroxylations may be drastically improved in some cases with the addition of coordinating groups alpha to the oxaziridine ring as oxaziridines 3b and 3c in the table above .,12953.83333,14.28523764
"The genus was named for Attalus III Philometor , king of Pergamon , known for his interest in medicinal plants .",7148.458333,13.28895222
"Kershaw 's streak was , at the time , tied for the fifteenth longest scoreless inning streak in MLB history .",7100.875,13.0127892
Several government agencies have set up their headquarters in Quezon City but several key government offices still reside in Manila .,7627.916667,14.71828853
"The studio soon approached Mendes with a deal to direct for the minimum salary allowed under Directors Guild of America rules ?€? $ 150 @,@ 000 .",11107.54167,13.1169174
"The Tetrarchs of ' A ' Squadron were to play an integral part in this reconnaissance role due to their speed , but the squadron 's strength of twenty tanks was severely depleted by the time it landed in Normandy .",11129.75,12.94789338
"Howard was also clutch in their next game , hitting a free throw with a less than one second remaining to beat Pitt in a dramatic finish .",8228.125,13.10968045
"Seeing the helicopters on the morning of 5 January , they realized the Americans would not remain in the city much longer .",7580.5,11.78285601
"Despite Category 4 winds on Spanish Wells , only five houses were destroyed , although most of the remaining dwellings lost their roofs .",8492,13.11567674
"When the war began turning in favour of the Allies , the Commission was able to begin restoring its First World War cemeteries and memorials .",8371.666667,11.6974284
"The iPlayer version had 1 @,@ 467 @,@ 220 views , making it the most popular TV show on iPlayer over Christmas .",10771.79167,12.35958823
"The new VIII Corps , under the overall command of ??douard Mortier , included three infantry divisions and a division of cavalry ( see Order of Battle below ) .",9643.125,12.85009735
